ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,WARD PRECINCT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2550239-20170804,"2,550,239",309467,1,CORK SPECIAL EVENTS COMPANY,"CORKY'S CATERING, INC.",1421 W FULLERTON,ADDISON,IL,60101,,,,,1481,Caterer's Liquor License,629,Catering of Liquor From a Business Not Located In Chicago,2550239,ISSUE,,,,N,8/4/17,6/15/19,8/4/17,8/4/17,AAI,,,41.92509497,-87.66425015,"(41.92509496896589, -87.66425014572287)"
2550220-20180616,"2,594,440",407124,1,"COUNTRY HOUSE RESTAURANT of ALSIP, INC.",COUNTRY HOUSE,5400 W 127TH ST 1,ALSIP,IL,60807,,,,,1481,Caterer's Liquor License,629,Catering of Liquor From a Business Not Located In Chicago,2550220,RENEW,,4/15/18,5/30/18,N,6/16/18,6/15/20,5/30/18,5/31/18,AAI,,,,,
2550238-20170804,"2,550,238",307009,1,"BUONA CATERING, L.L.C.",BEYOND EVENTS,6833 W ROOSEVELT,BERWYN,IL,60402,,,,,1481,Caterer's Liquor License,629,Catering of Liquor From a Business Not Located In Chicago,2550238,ISSUE,,,,N,8/4/17,3/15/19,8/4/17,8/4/17,AAI,,,,,
2550234-20180916,"2,613,206",336442,1,D'MASTI CATERING INC.,D'MASTI CATERING,11915 S WESTERN AVE 1,BLUE ISLAND,IL,60406,,,,,1481,Caterer's Liquor License,629,Catering of Liquor From a Business Not Located In Chicago,2550234,RENEW,,7/15/18,9/11/18,N,9/16/18,9/15/20,9/11/18,9/12/18,AAI,,,,,
2550215-20181016,"2,620,387",401984,2,RAVEN'S PLACE LLC,RAVEN'S PLACE CATERING,13031  WESTERN AVE 1,BLUE ISLAND,IL,60406,,,,,1481,Caterer's Liquor License,629,Catering of Liquor From a Business Not Located In Chicago,2550215,RENEW,,8/15/18,10/16/18,N,10/16/18,9/15/20,10/16/18,10/16/18,AAI,,,,,
2550102-20170803,"2,550,102",408343,1,VOICE OF THE CITY,VOICE OF THE CITY,3429 W DIVERSEY AVE 2ND/REAR 209,CHICAGO,IL,60647,,,,,1050,Public Place of Amusement,698,Live Theatrical and Other Live Cultural Performances Where Organization is Operating as an Incidental Use In a Building Primarily Used In The Conduct of Activities of a Not-For-Profit Organization,2550102,ISSUE,,,,N,8/3/17,3/15/19,8/3/17,8/3/17,AAI,,,41.93184778,-87.71342663,"(41.931847783035664, -87.7134266263389)"
2423997-20170619,"2,423,997",401191,1,MAGO RC LLC,MAGO GRILL & CANTINA,1010 S DELANO WEST CT 1 G131,CHICAGO,IL,60605,25,,1,-25,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2423997,ISSUE,9/10/15,6/6/16,4/27/16,Y,6/19/17,7/15/19,6/19/17,6/19/17,AAI,,,41.86946441,-87.63285449,"(41.86946441129826, -87.63285448774887)"
1800741-20170316,"2,507,270",11400,1,FORTNIGHTLY OF CHICAGO,THE FORTNIGHTLY OF CHICAGO,120 E BELLEVUE PL,CHICAGO,IL,60611,42,1,18,42-1,1473,Not-For-Profit Club,639,"Consumption of Liquor on Premises, Not for Profit",1800741,RENEW,,1/15/17,2/1/17,N,3/16/17,3/15/19,2/1/17,2/2/17,AAI,,,41.90172049,-87.62486816,"(41.90172048907756, -87.62486815626899)"
1739261-20170316,"2,509,086",307041,1,MCCLURG CORPORATION,7- ELEVEN,600 N MCCLURG CT,CHICAGO,IL,60611,42,2,18,42-2,1474,Package Goods,774,Retail Sales of Packaged Liquor,1739261,RENEW,,1/15/17,2/3/17,N,3/16/17,3/15/19,2/3/17,2/6/17,AAI,,,41.89267922,-87.61786371,"(41.89267922007347, -87.61786371164598)"
1226890-20170316,"2,508,287",201786,1,3343 CLARK CORP.,LOWCOUNTRY,3343 N CLARK ST BSMT & 1ST,CHICAGO,IL,60657,44,42,19,44-42,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1226890,RENEW,,1/15/17,2/6/17,N,3/16/17,3/15/19,2/6/17,2/7/17,AAI,,17,41.94286932,-87.6528628,"(41.942869318828365, -87.65286280377227)"
16825-20170316,"2,507,201",6942,1,"DAO INTERNATIONAL, INC.",DAO THAI RESTRAUNT,230 E OHIO ST  1ST,CHICAGO,IL,60611,42,41,18,42-41,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,16825,RENEW,,1/15/17,2/6/17,N,3/16/17,3/15/19,2/6/17,2/7/17,AAI,,,41.89268963,-87.62143837,"(41.8926896277279, -87.62143836482372)"
2065267-20170316,"2,508,341",209730,2,IKRAM LLC,IKRAM,15 E HURON ST 1 & 2,CHICAGO,IL,60611,42,56,18,42-56,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2065267,RENEW,,1/15/17,2/6/17,N,3/16/17,3/15/19,2/6/17,2/7/17,AAI,,,41.89477624,-87.62747699,"(41.89477624118383, -87.62747699022111)"
16824-20170316,"2,507,200",6942,1,"DAO INTERNATIONAL, INC.",DAO THAI RESTRAUNT,230 E OHIO ST  1ST,CHICAGO,IL,60611,42,41,18,42-41,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,16824,RENEW,,1/15/17,2/6/17,N,3/16/17,3/15/19,2/6/17,2/7/17,AAI,,,41.89268963,-87.62143837,"(41.8926896277279, -87.62143836482372)"
