,name,address1,address2,address3,city,state,zip_code,latitude,longitude,review_count,rating,price
0,Girl & the Goat,809 W Randolph St,,,Chicago,IL,60607,41.884176,-87.6479440725005,7979,4.5,$$$
1,The Purple Pig,500 N Michigan Ave,,,Chicago,IL,60611,41.89101954311,-87.6245617816512,6538,4.0,$$
2,Au Cheval,800 W Randolph St,,,Chicago,IL,60607,41.88466,-87.647668,6038,4.5,$$
3,Wildberry Pancakes and Cafe,130 E Randolph St,,,Chicago,IL,60601,41.884668,-87.62288,6011,4.5,$$
4,Lou Malnati's Pizzeria,439 N Wells St,,,Chicago,IL,60654,41.890357,-87.633704,5287,4.0,$$
5,Pequod's Pizzeria,2207 N Clybourn Ave,,,Chicago,IL,60614,41.92187,-87.664486,5195,4.0,$$
6,Kuma's Corner - Belmont,2900 W Belmont Ave,,,Chicago,IL,60618,41.939640045166,-87.7004470825195,4971,4.0,$$
7,Portillo's Hot Dogs,100 W Ontario,,,Chicago,IL,60610,41.89366,-87.63157,4810,4.0,$
8,Quartino Ristorante,626 N State St,,,Chicago,IL,60654,41.8934479679332,-87.6283662020996,4334,4.0,$$
9,Little Goat Diner,820 W Randolph St,,,Chicago,IL,60607,41.8846460590586,-87.6484126982138,4168,4.0,$$
10,Smoque BBQ,3800 N Pulaski Rd,Ste 2,,Chicago,IL,60641,41.95021,-87.72795,3960,4.5,$$
11,Cafe Ba-Ba-Reeba!,2024 N Halsted St,,,Chicago,IL,60614,41.918984,-87.648687,3669,4.0,$$
12,Xoco,449 N Clark St,,,Chicago,IL,60654,41.890969,-87.630776,3474,4.0,$$
13,Piece Brewery and Pizzeria,1927 W North Ave,,,Chicago,IL,60622,41.9103256994423,-87.6760850295053,3397,4.0,$$
14,Eataly,43 E Ohio St,,,Chicago,IL,60611,41.892335432963,-87.6262607945148,3272,4.0,$$
15,Big Star,1531 N Damen,,,Chicago,IL,60622,41.9093,-87.67718,3100,3.5,$$
16,The Publican,837 W Fulton Market,,,Chicago,IL,60607,41.886644,-87.648765,3059,4.0,$$$
17,Crisp,2940 N Broadway Ave,,,Chicago,IL,60657,41.9361214592879,-87.6444210345452,2882,4.5,$$
18,RPM Italian,52 W Illinois St,,,Chicago,IL,60654,41.8909608540557,-87.6300418625656,2811,4.0,$$$
19,Three Dots and a Dash,435 N Clark St,Back alley on Hubbard St,,Chicago,IL,60654,41.8904391303273,-87.6306027367742,2786,4.0,$$
20,The Gage,24 S Michigan Ave,,,Chicago,IL,60603,41.881369,-87.624698,2645,4.0,$$
21,Sunda,110 W Illinois St,,,Chicago,IL,60654,41.8909469,-87.6317244,2629,4.0,$$$
22,Giordano's,730 N Rush St,,,Chicago,IL,60611,41.8958755,-87.625643,2453,3.5,$$
23,Longman & Eagle,2657 N Kedzie Ave,,,Chicago,IL,60647,41.930156679293,-87.707222394898,2307,4.0,$$
24,Mindy's Hot Chocolate,1747 N Damen Ave,,,Chicago,IL,60647,41.91367,-87.67718,2305,4.0,$$
25,Chicago Pizza And Oven Grinder Company,2121 N Clark St,,,Chicago,IL,60614,41.92084,-87.63721,2287,4.0,$$
26,Batter & Berries,2748 N Lincoln Ave,,,Chicago,IL,60614,41.9315605,-87.6577911,2271,4.0,$$
27,"Joe's Seafood, Prime Steak & Stone Crab",60 E Grand Ave,,,Chicago,IL,60611,41.8918195,-87.6261787,2231,4.5,$$$
28,Giordano's,130 E Randolph,,,Chicago,IL,60601,41.885165,-87.623753,2222,3.5,$$
