,doing business as name,address,city_x,state_x,zip_code,license description,business activity id,business activity,application type,date issued,expiration,latitude_x,latitude_y,license_id,active_id,name,review_count,rating,price
0,TEMPO CAFE,6 e chestnut st,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/06/2019,2021-03-15,41.898431372,41.898485654682005,18246,7,Tempo Cafe,693,3.5,$$
1,MICHIGAN CANDY STORE,980 n michigan ave 1 1,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/01/2019,2021-03-15,41.900801649,41.900622,18108,12,Spiaggia,525,4.0,$$$$
2,MICHIGAN CANDY STORE,980 n michigan ave 1 1,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/01/2019,2021-03-15,41.900801649,41.900704224779204,18108,12,Cafe Spiaggia,380,4.0,$$$
3,SPIAGGIA/CAFE SPIAGGIA,980 n michigan ave 2nd,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/13/2019,2021-03-15,41.900801649,41.900622,18496,44,Spiaggia,525,4.0,$$$$
4,SPIAGGIA/CAFE SPIAGGIA,980 n michigan ave 2nd,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/13/2019,2021-03-15,41.900801649,41.900704224779204,18496,44,Cafe Spiaggia,380,4.0,$$$
5,THE ANGRY CRAB,5665 n lincoln ave,CHICAGO,IL,60659,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,02/01/2019,2021-03-15,41.984507613000005,41.98453320000001,18127,15,The Angry Crab,831,4.0,$$
6,FLEMING'S PRIME STEAKHOUSE & WINEBAR,25 e ohio st,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/07/2019,2021-03-15,41.892378774,41.89227,18177,16,Fleming's Prime Steakhouse & Wine Bar - Chicago,523,4.0,$$$
7,D4 IRISH PUB & CAFE,345 e ohio st 1,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/06/2019,2021-03-15,41.892518300999996,41.892019224495,18163,17,D4 Irish Pub & Cafe,732,3.5,$$
8,Dollop Coffee Company,345 e ohio st ground level,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,11/20/2018,2021-01-15,41.892518300999996,41.892019224495,16609,336,D4 Irish Pub & Cafe,732,3.5,$$
9,SILVER SPOON RESTAURANT,710 n rush st,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/05/2019,2021-03-15,41.89532082,41.895365999999996,18162,18,Friends Sushi,1227,4.0,$$
10,SILVER SPOON RESTAURANT,710 n rush st,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/05/2019,2021-03-15,41.89532082,41.895347595214794,18162,18,Silver Spoon Thai Restaurant,383,3.0,$
11,FRIENDS SUSHI,710 n rush st 1,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/14/2017,2019-03-15,41.89532082,41.895365999999996,2881,7418,Friends Sushi,1227,4.0,$$
12,FRIENDS SUSHI,710 n rush st 1,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/14/2017,2019-03-15,41.89532082,41.895347595214794,2881,7418,Silver Spoon Thai Restaurant,383,3.0,$
13,GIBSONS STEAK HOUSE,1028 n rush st 1st,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/04/2019,2021-03-15,41.901488534,41.901374,18273,20,Gibsons Bar & Steakhouse,1757,4.0,$$$
14,OLD JERUSALEM RESTAURANT,1411 n wells st  1,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/25/2019,2021-03-15,41.908022398,41.90783,17971,21,Old Jerusalem,345,4.0,$$
15,The Original Pancake House,22 e bellevue pl  1,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/24/2019,2021-03-15,41.901682076,41.90178,17940,23,Original Pancake House,511,4.0,$$
16,LUCKY STRIKE LANES,322 e illinois st 2,CHICAGO,IL,60611,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,01/25/2019,2021-03-15,41.891133171,41.8910981,17975,28,Lucky Strike,472,2.5,$$
17,AMC THEATRES RIVER EAST 21,322 e illinois st 2 & 3,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,09/19/2017,2019-11-15,41.891133171,41.8910981,6580,4363,Lucky Strike,472,2.5,$$
18,LOWCOUNTRY,3343 n clark st bsmt & 1st,CHICAGO,IL,60657,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/25/2019,2021-03-15,41.942869319,41.942883,18009,31,Lowcountry Lakeview,508,4.5,$$
19,BUBBA GUMP SHRIMP CO RESTAURANT,700 e grand ave,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/07/2019,2021-03-15,41.892249163,41.891282249800796,18316,34,Riva Crabhouse,550,3.5,$$$
20,BUBBA GUMP SHRIMP CO RESTAURANT,700 e grand ave,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/07/2019,2021-03-15,41.892249163,41.8916034336946,18316,34,Harry Caray's Tavern -Navy Pier,514,3.0,$$
21,BUBBA GUMP SHRIMP CO RESTAURANT,700 e grand ave,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/07/2019,2021-03-15,41.892249163,41.8914094,18316,34,Bubba Gump Shrimp Co.,488,3.0,$$
22,BUBBA GUMP SHRIMP CO RESTAURANT,700 e grand ave,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/07/2019,2021-03-15,41.892249163,41.891822999999995,18316,34,Giordano's - Navy Pier,456,3.5,$$
23,BUBBA GUMP SHRIMP CO RESTAURANT,700 e grand ave,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/07/2019,2021-03-15,41.892249163,41.891983200000006,18316,34,Margaritaville - Chicago,377,3.0,$$
24,JIMMY BUFFETT'S MARGARITAVILLE BAR & GRILL,700 e grand ave 1 fc12,CHICAGO,IL,60611,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,08/15/2018,2020-07-15,41.892249163,41.891282249800796,14507,2407,Riva Crabhouse,550,3.5,$$$
25,JIMMY BUFFETT'S MARGARITAVILLE BAR & GRILL,700 e grand ave 1 fc12,CHICAGO,IL,60611,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,08/15/2018,2020-07-15,41.892249163,41.8916034336946,14507,2407,Harry Caray's Tavern -Navy Pier,514,3.0,$$
